time,progress,x,y,z
0,0,0,0,1
0.1887856,0,0,0,1
0.3997002,0,0,0,1
0.6072502,0,0,0,1
0.7999916,0,0,0,1
0.9919357,0,0,0,1
1.192127,0,0,0,1
1.388161,0,0,0,1
1.588253,0,0,0,1
1.80426,0,0,0,1
1.999886,0,0,0,1
2.200153,0,0,0,1
2.407249,0,0,0,1
2.607254,0,0,0,1
2.79229,0,0,0,1
2.987991,0,0,0,1
3.19191,0,0,0,1
3.388153,0,0,0,1
3.591896,0,0,0,1
3.78788,0,0,0,1
3.992233,0,0,0,1
4.188286,0,0,0,1
4.40493,0,-0.3048614,0.00436331,0.9523867
4.591988,0,-0.3048614,0.00436331,0.9523867
4.807251,0,-0.2753751,-0.04361939,0.9603468
4.988297,0,-0.2541271,-0.06104854,0.9652422
5.203979,0,-0.2541271,-0.06104854,0.9652422
5.404327,0,-0.2541271,-0.06104854,0.9652422
5.588203,0,-0.2541271,-0.06104854,0.9652422
5.799889,0,-0.2541271,-0.06104854,0.9652422
5.987923,0,-0.2541271,-0.06104854,0.9652422
6.187965,0,-0.2541271,-0.06104854,0.9652422
6.387962,0,-0.2541271,-0.06104854,0.9652422
6.587952,0,-0.2541271,-0.06104854,0.9652422
6.796188,0,-0.2541271,-0.06104854,0.9652422
7.007256,0,-0.2541271,-0.06104854,0.9652422
7.207253,0,-0.2541271,-0.06104854,0.9652422
7.407249,0,-0.2541925,-0.05669279,0.9654906
7.592514,0,-0.3248711,-0.06540314,0.9434941
7.787788,0,-0.3289848,-0.06540314,0.9420676
7.992386,0,-0.3289848,-0.06540314,0.9420676
8.192039,0,-0.3289848,-0.06540314,0.9420676
8.392044,0,-0.3289848,-0.06540314,0.9420676
8.59182,0,-0.3289848,-0.06540314,0.9420676
8.791718,0,-0.3289848,-0.06540314,0.9420676
9.007256,0,-0.3289848,-0.06540314,0.9420676
9.196091,0,-0.3289848,-0.06540314,0.9420676
9.407249,0,-0.3289848,-0.06540314,0.9420676
9.607254,0,-0.3289848,-0.06540314,0.9420676
9.807251,0,-0.3289848,-0.06540314,0.9420676
9.991928,0,-0.3289848,-0.06540314,0.9420676
10.18765,0,-0.3289848,-0.06540314,0.9420676
10.39628,0,-0.3289848,-0.06540314,0.9420676
10.58846,0,-0.3289848,-0.06540314,0.9420676
10.79176,0,-0.3289848,-0.06540314,0.9420676
11.0041,0,-0.3289848,-0.06540314,0.9420676
11.19645,0,-0.3289848,-0.06540314,0.9420676
11.40725,0,-0.3289848,-0.06540314,0.9420676
11.59223,0,-0.3289848,-0.06540314,0.9420676
11.79169,0,-0.3289848,-0.06540314,0.9420676
11.9963,0,-0.3369875,-0.0741085,0.938588
12.1998,0,-0.3686931,-0.1001881,0.9241362
12.40725,0,-0.379831,-0.1218694,0.9169931
12.588,0,-0.4617091,-0.0130896,0.8869348
12.80032,0,-0.4610832,0.1391731,0.876375
13.00018,0,-0.4190826,0.186524,0.8885823
13.19324,0,-0.3581564,0.2121777,0.909233
13.39983,0,-0.3339129,0.2164396,0.9174181
13.60027,0,-0.3535011,0.2206974,0.9090267
13.80389,0,-0.6353829,0.2292004,0.737398
14.00018,0,-0.8641014,0.1822356,0.4691686
14.19601,0,-0.9126298,0.1305262,0.3873883
14.40725,0,-0.9474375,0.08715574,0.3078411
14.60448,0,-0.9972223,-0.06975648,0.02611315
14.79616,0,-0.939404,-0.08280821,-0.3326604
15.00725,0,-0.8633094,0.0348995,-0.5034673
15.19995,0,-0.8515565,0.1348509,-0.5066229
15.38855,0,-0.8436167,0.190809,-0.5018993
15.60725,0,-0.7629108,0.25038,-0.5960513
15.80725,0,-0.6210942,0.2756374,-0.7336662
16.00725,0,-0.5547876,0.2756374,-0.7850064
16.19234,0,-0.5372619,0.254602,-0.8040694
16.40725,0,-0.5008076,0.2334454,-0.8334838
16.60725,0,-0.3627925,0.2036417,-0.9093469
16.78839,0,-0.154912,0.1391731,-0.9780763
17.00725,0,-0.1469309,0.1088669,-0.9831377
17.18835,0,-0.1469309,0.1088669,-0.9831377
17.40725,0,-0.1344353,0.0784591,-0.9878114
17.5961,0,-0.008707954,0.06540313,-0.997821
17.79599,0,0.09997355,0.06540314,-0.9928383
18.00115,0,0.1302468,0.06540313,-0.9893221
18.19611,0,0.1302468,0.06540313,-0.9893221
18.39578,0,0.1344802,0.0741085,-0.9881412
18.5961,0,0.1473537,0.07845911,-0.9859672
18.8018,0,0.2200171,0.07845911,-0.9723357
18.99614,0,0.3121984,0.07845911,-0.9467717
19.19188,0,0.3484453,0.1001881,-0.9319595
19.4043,0,0.3716117,0.126199,-0.9197711
19.60017,0,0.3756525,0.190809,-0.9069053
19.80432,0,0.3088577,0.2292004,-0.9230787
19.98808,0,-0.0171021,0.1993679,-0.9797754
20.1958,0,-0.0814215,0.1822356,-0.9798781
20.40014,0,-0.1804621,0.1391731,-0.973686
20.59175,0,-0.03025955,0.1348509,-0.9904038
20.79583,0,0.369003,0.09150162,-0.924913
20.99199,0,0.4422718,-0.008726536,-0.8968388
21.18832,0,0.3819697,-0.06104855,-0.9221564
21.39635,0,-0.164991,0.02617695,-0.9859478
21.59204,0,-0.9967669,0.06104854,-0.05223832
21.80725,0,-0.8314617,-0.00436331,0.555565
21.98827,0,-0.6943344,-0.03053851,0.7190043
22.19634,0,-0.6588376,-0.03925982,0.7512601
22.39224,0,-0.5321472,-0.0741085,0.8434022
22.59217,0,-0.3360656,-0.1045285,0.9360201
22.79635,0,-0.2739991,-0.1088669,0.9555483
23.0004,0,-0.2739991,-0.1088669,0.9555483
23.19608,0,-0.2739991,-0.1088669,0.9555483
23.38832,0,-0.2739991,-0.1088669,0.9555483
23.60725,0,-0.2739991,-0.1088669,0.9555483
23.79193,0,-0.2739991,-0.1088669,0.9555483
23.98844,0,-0.2698271,-0.1088669,0.9567347
24.18761,0,-0.2698271,-0.1088669,0.9567347
24.40725,0,-0.2698271,-0.1088669,0.9567347
24.59582,0,-0.2698271,-0.1088669,0.9567347
24.7885,0,-0.2698271,-0.1088669,0.9567347
24.9922,0,-0.2698271,-0.1088669,0.9567347
25.19181,0,-0.2698271,-0.1088669,0.9567347
25.39567,0,-0.2698271,-0.1088669,0.9567347
25.5878,0,-0.2947791,-0.1088669,0.9493436
25.79624,0,-0.6737325,-0.0741085,0.73525
26.00725,0,-0.9597209,-0.02617695,0.279733
26.20467,0,-0.8827375,0.02181489,-0.4693599
26.38765,0,-0.8716658,0.04361939,-0.4881563
26.60725,0,-0.946555,0.06104855,-0.316713
26.79627,0,-0.9783077,0.1001881,-0.1813185
27.00406,0,-0.9796983,0.1088669,-0.168343
27.19215,0,-0.9782099,0.1218694,-0.1680872
27.39986,0,-0.9720398,0.1693495,-0.1626637
27.59204,0,-0.9713018,0.1736482,-0.1625403
27.8,0,-0.9713018,0.1736482,-0.1625403
28.00725,0,-0.9713018,0.1736482,-0.1625403
28.20424,0,-0.9713018,0.1736482,-0.1625403
28.39222,0,-0.9713018,0.1736482,-0.1625403
28.59598,0,-0.9713018,0.1736482,-0.1625403
28.79633,0,-0.9713018,0.1736482,-0.1625403
28.99724,0,-0.9713018,0.1736482,-0.1625403
29.19989,0,-0.9713018,0.1736482,-0.1625403
29.40725,0,-0.9713018,0.1736482,-0.1625403
29.58775,0,-0.9713018,0.1736482,-0.1625403
29.79239,0,-0.9713018,0.1736482,-0.1625403
30.00725,0,-0.9713018,0.1736482,-0.1625403
30.20444,0,-0.9713018,0.1736482,-0.1625403
30.39207,0,-0.9713018,0.1736482,-0.1625403
30.60725,0,-0.9713018,0.1736482,-0.1625403
30.7996,0,-0.9713018,0.1736482,-0.1625403
31.0039,0,-0.9713018,0.1736482,-0.1625403
31.20725,0,-0.9713018,0.1736482,-0.1625403
31.40425,0,-0.9713018,0.1736482,-0.1625403
31.59217,0,-0.9727594,0.1650476,-0.1627841
31.80401,0,-0.9766872,0.1391731,-0.1634414
31.99593,0,-0.9778479,0.1305262,-0.1636357
32.19617,0,-0.9769343,0.126199,-0.1722599
32.39204,0,-0.9769343,0.126199,-0.1722599
32.59644,0,-0.9789544,0.1088669,-0.1726161
32.78789,0,-0.9789544,0.1088669,-0.1726161
32.99977,0,-0.9787282,0.09584574,-0.1813965
33.20014,0,-0.9791301,0.09150162,-0.181471
33.40004,0,-0.9791301,0.09150162,-0.181471
33.58846,0,-0.9922023,0.1088669,-0.06068571
33.78841,0,-0.9906456,0.126199,-0.05191763
34.00011,0,-0.9853148,0.1521234,-0.07754593
34.20426,0,-0.9815107,0.1521234,-0.1161695
34.40431,0,-0.9815107,0.1521234,-0.1161695
34.60725,0,-0.9815107,0.1521234,-0.1161695
34.79585,0,-0.9815107,0.1521234,-0.1161695
35.00002,0,-0.9758505,0.1950903,-0.09826303
35.19257,0,-0.9741195,0.2036418,-0.09808864
35.40725,0,-0.9741195,0.2036418,-0.09808864
35.59606,0,-0.9741195,0.2036418,-0.09808864
35.80061,0,-0.9741195,0.2036418,-0.09808864
35.99583,0,-0.9741195,0.2036418,-0.09808864
36.19606,0,-0.9741195,0.2036418,-0.09808864
36.40041,0,-0.9741195,0.2036418,-0.09808864
36.596,0,-0.9741195,0.2036418,-0.09808864
36.80392,0,-0.9741195,0.2036418,-0.09808864
37.00725,0,-0.9741195,0.2036418,-0.09808864
37.20725,0,-0.9749943,0.1993679,-0.09817682
37.38804,0,-0.9757927,0.190809,-0.1068667
37.59596,0,-0.9757927,0.190809,-0.1068667
37.78768,0,-0.9757927,0.190809,-0.1068667
38.00725,0,-0.9757927,0.190809,-0.1068667
38.20725,0,-0.9757927,0.190809,-0.1068667
38.40434,0,-0.9757927,0.190809,-0.1068667
38.60725,0,-0.9757927,0.190809,-0.1068667
38.79224,0,-0.9757927,0.190809,-0.1068667
38.99162,0,-0.9757927,0.190809,-0.1068667
39.18816,0,-0.9757927,0.190809,-0.1068667
39.38847,0,-0.9757927,0.190809,-0.1068667
39.59663,0,-0.9757927,0.190809,-0.1068667
39.79581,0,-0.9757927,0.190809,-0.1068667
39.99561,0,-0.9757927,0.190809,-0.1068667
40.18803,0,-0.9757927,0.190809,-0.1068667
40.3883,0,-0.9757927,0.190809,-0.1068667
40.58781,0,-0.9757927,0.190809,-0.1068667
40.78803,0,-0.9757927,0.190809,-0.1068667
40.99952,0,-0.9757927,0.190809,-0.1068667
41.1997,0,-0.9757927,0.190809,-0.1068667
41.39621,0,-0.9757927,0.190809,-0.1068667
41.6037,0,-0.9757927,0.190809,-0.1068667
41.80009,0,-0.9757927,0.190809,-0.1068667
41.99192,0,-0.9757927,0.190809,-0.1068667
42.20047,0,-0.9757927,0.190809,-0.1068667
42.38853,0,-0.9757927,0.190809,-0.1068667
42.59576,0,-0.9757927,0.190809,-0.1068667
42.80365,0,-0.9757927,0.190809,-0.1068667
42.99218,0,-0.9757927,0.190809,-0.1068667
43.20725,0,-0.9757927,0.190809,-0.1068667
43.39163,0,-0.9757927,0.190809,-0.1068667
43.59219,0,-0.9757927,0.190809,-0.1068667
43.79584,0,-0.9757927,0.190809,-0.1068667
44.00725,0,-0.9757927,0.190809,-0.1068667
44.20451,0,-0.9757927,0.190809,-0.1068667
44.39678,0,-0.9757927,0.190809,-0.1068667
44.59155,0,-0.9757927,0.190809,-0.1068667
44.79192,0,-0.9757927,0.190809,-0.1068667
44.99629,0,-0.9757927,0.190809,-0.1068667
45.19638,0,-0.9757927,0.190809,-0.1068667
45.39243,0,-0.9757927,0.190809,-0.1068667
45.59649,0,-0.9782557,0.190809,-0.08128665
45.80725,0,-0.9837036,0.1779436,-0.02575933
46.00725,0,-0.9846579,0.1736482,-0.01718733
46.18797,0,-0.9722835,0.1434927,0.1845935
46.3958,0,-0.8771955,0.09150163,0.471334
46.58846,0,-0.7530937,0.06540313,0.6546544
46.79237,0,-0.7201372,0.07845911,0.6893813
47.0005,0,-0.7177205,0.1132032,0.6870679
47.20033,0,-0.8051732,0.1478094,0.5743244
47.38823,0,-0.9268054,0.1650476,0.3373295
47.59209,0,-0.9268054,0.1650476,0.3373295
47.78814,0,-0.9112091,0.1650476,0.3774352
47.98806,0,-0.9095536,0.1650476,0.3814074
48.20725,0,-0.882661,0.1650476,0.4400784
48.39217,0,-0.8584194,0.1650476,0.4856702
48.59972,0,-0.8454118,0.1650476,0.5079746
48.80408,0,-0.8454118,0.1650476,0.5079746
48.98811,0,-0.8454118,0.1650476,0.5079746
49.19638,0,-0.8454118,0.1650476,0.5079746
49.40009,0,-0.8454118,0.1650476,0.5079746
49.59995,0,-0.8454118,0.1650476,0.5079746
49.80057,0,-0.8454118,0.1650476,0.5079746
50.00021,0,-0.8454118,0.1650476,0.5079746
50.19257,0,-0.8454118,0.1650476,0.5079746
50.39983,0,-0.8454118,0.1650476,0.5079746
50.59594,0,-0.8454118,0.1650476,0.5079746
50.79212,0,-0.8454118,0.1650476,0.5079746
51.00725,0,-0.8454118,0.1650476,0.5079746
51.20725,0,-0.8454118,0.1650476,0.5079746
51.40725,0,-0.8454118,0.1650476,0.5079746
51.59248,0,-0.8454118,0.1650476,0.5079746
51.80725,0,-0.8454118,0.1650476,0.5079746
52.00725,0,-0.8454118,0.1650476,0.5079746
52.20725,0,-0.8454118,0.1650476,0.5079746
52.40725,0,-0.8454118,0.1650476,0.5079746
52.60725,0,-0.8653262,0.1607426,0.4747341
52.8,0,-0.9663143,0.1607426,0.2009937
52.99218,0,-0.9712446,0.1607426,0.1756296
53.20408,0,-0.9651998,0.1564345,0.2095654
53.40725,0,-0.962374,0.1564345,0.2221814
53.60725,0,-0.9602963,0.1693495,0.2217018
53.79694,0,-0.9601764,0.190809,0.2040917
53.99993,0,-0.9442754,0.2206974,0.2442061
54.18812,0,-0.9442754,0.2206974,0.2442061
54.40725,0,-0.9442754,0.2206974,0.2442061
54.59589,0,-0.9442754,0.2206974,0.2442061
54.78802,0,-0.9442754,0.2206974,0.2442061
54.99163,0,-0.9442754,0.2206974,0.2442061
55.20033,0,-0.9442754,0.2206974,0.2442061
55.4043,0,-0.9442754,0.2206974,0.2442061
55.59998,0,-0.9442754,0.2206974,0.2442061
55.79156,0,-0.9442754,0.2206974,0.2442061
56.00008,0,-0.9442754,0.2206974,0.2442061
56.19971,0,-0.9442754,0.2206974,0.2442061
56.40031,0,-0.9442754,0.2206974,0.2442061
56.59995,0,-0.9442754,0.2206974,0.2442061
56.78819,0,-0.9442754,0.2206974,0.2442061
56.9917,0,-0.9442754,0.2206974,0.2442061
57.20077,0,-0.9442754,0.2206974,0.2442061
57.40001,0,-0.9442754,0.2206974,0.2442061
57.592,0,-0.9442754,0.2206974,0.2442061
57.80725,0,-0.9442754,0.2206974,0.2442061
57.98798,0,-0.9442754,0.2206974,0.2442061
58.19582,0,-0.9442754,0.2206974,0.2442061
58.40725,0,-0.9442754,0.2206974,0.2442061
58.60725,0,-0.9442754,0.2206974,0.2442061
58.80725,0,-0.9442754,0.2206974,0.2442061
59.00008,0,-0.9442754,0.2206974,0.2442061
59.18793,0,-0.9442754,0.2206974,0.2442061
59.39639,0,-0.9442754,0.2206974,0.2442061
59.59991,0,-0.9442754,0.2206974,0.2442061
59.78799,0,-0.9442754,0.2206974,0.2442061
59.99186,0,-0.9442754,0.2206974,0.2442061
60.19215,0,-0.9442754,0.2206974,0.2442061
60.39201,0,-0.9442754,0.2206974,0.2442061
60.5999,0,-0.9442754,0.2206974,0.2442061
60.78831,0,-0.9442754,0.2206974,0.2442061
61.00725,0,-0.9442754,0.2206974,0.2442061
61.19159,0,-0.9442754,0.2206974,0.2442061
61.40102,0,-0.9442754,0.2206974,0.2442061
61.60548,0,-0.9451988,0.2164396,0.2444449
61.78797,0,-0.9077565,0.1950903,0.371373
61.99998,0,-0.244571,0.1132032,0.9630005
62.20452,0,0.1336973,0.1305262,0.9823889
62.39225,0,0.142265,0.1305262,0.9811848
62.59314,0,0.07778788,0.1305262,0.9883885
62.79211,0,-0.3593374,0.1305262,0.9240344
63.00005,0,-0.3953377,0.1305262,0.9092145
63.19995,0,-0.3953377,0.1305262,0.9092145
63.3961,0,-0.3953377,0.1305262,0.9092145
63.58885,0,-0.3953377,0.1305262,0.9092145
63.8,0,-0.3953377,0.1305262,0.9092145
64.00027,0,-0.3953377,0.1305262,0.9092145
