time,progress,x,y,z
0,0,0,0,0
0.9968357,0,0,0,0
2.000393,0,0,0.580005,0.07388403
2.996614,0,4.070955,0.580005,17.6677
3.991743,0,23.97355,0.580005,37.57029
4.992851,0,37.43274,0.580005,57.59246
6.003744,0,52.69688,0.580005,77.81029
7.004107,0,52.70813,0.580005,97.81753
7.996143,0,52.70813,0.580005,117.6583
8.992937,0,45.20261,0.580005,137.5941
9.992069,0,45.20261,0.580005,157.5768
10.99602,0,45.20261,0.580005,177.6558
11.99614,0,40.10472,0.580005,197.6581
12.99978,0,32.09175,0.580005,214.4089
13.99189,0,32.09175,0.5800046,214.4089
14.99788,0,24.50175,0.580005,223.6163
15.99208,0,18.35246,0.580005,231.076
16.99603,0,18.35246,0.5800046,231.076
17.99213,0,18.35246,0.5800046,231.076
18.9958,0,13.34219,0.580005,229.8036
19.99966,0,8.636716,0.580005,221.9176
20.99967,0,-1.122896,0.580005,219.3194
21.99585,1,-3.016115,0.5800049,218.8386
22.9922,1,-3.016115,0.5800048,218.8386
23.99261,1,-3.016115,0.5800048,218.8386
25.00436,1,-3.016115,0.5800048,218.8386
25.99627,1,-3.016115,0.5800048,218.8386
26.992,1,-3.325203,0.580005,218.817
27.99454,1,-21.70876,0.580005,217.5315
28.9928,1,-30.29472,0.580005,216.9311
30.00083,1,-30.29472,0.5800048,216.9311
30.99172,1,-30.29472,0.5800048,216.9311
31.99165,1,-30.29472,0.5800048,216.9311
32.99588,1,-30.29472,0.5800048,216.9311
33.99174,1,-30.29472,0.5800048,216.9311
35.00378,1,-30.93508,0.5800054,214.2638
35.99617,1,-35.53061,0.5800041,195.122
36.99167,1,-40.14628,0.5800036,175.8964
37.99213,1,-42.8046,0.580002,164.8237
39.00025,1,-42.8046,0.580002,164.8237
40.00783,1,-42.8046,0.580002,164.8237
40.99568,1,-42.8046,0.580002,164.8237
41.99276,1,-42.8046,0.580002,164.8237
42.99177,1,-42.8046,0.580002,164.8237
44.0005,1,-42.8046,0.580002,164.8237
44.99232,1,-42.8046,0.580002,164.8237
45.99277,1,-46.7415,0.580005,160.5273
46.99165,1,-51.33235,0.5800049,155.516
47.99609,1,-51.33235,0.5800048,155.516
48.99174,1,-51.33235,0.5800048,155.516
49.99638,1,-51.33235,0.5800048,155.516
50.99571,1,-51.33235,0.5800048,155.516
51.99964,1,-51.33235,0.5800048,155.516
52.99201,1,-51.33235,0.5800048,155.516
53.99656,1,-50.69827,0.580005,142.3151
55.00023,1,-49.73849,0.5800049,122.3338
56.00368,1,-48.77893,0.580005,102.3568
56.99657,1,-47.82944,0.580005,82.58976
57.99571,1,-46.874,0.580005,62.69855
58.99582,1,-45.91763,0.580005,42.78821
59.99274,1,-44.96431,0.580005,22.94117
60.99181,1,-44.00892,0.5800049,3.051193
61.99153,1,-43.05292,0.580005,-16.85159
62.99268,1,-42.50797,0.580005,-28.19689
63.99193,1,-30.22901,0.5800047,-27.60708
64.9915,1,-10.26057,0.5800047,-26.64793
65.99207,1,-3.228097,0.5800049,-37.13381
66.99581,1,-2.660513,0.580005,-48.95021
67.99548,1,-2.660513,0.5800047,-48.95021
69.00362,1,-2.660513,0.5800047,-48.95021
69.99216,1,-2.660513,0.5800047,-48.95021
71.00064,1,-2.660513,0.5800047,-48.95021
72.00462,1,-2.660513,0.5800047,-48.95021
