time,progress,x,y,z
0,0,0,0,0
0.2115288,0,0,0,0
0.4118462,0,0,0,0
0.6038342,0,0,0,0
0.7919235,0,0,0,0
1.011847,0,0,0,0
1.211847,0,0,0,0
1.411846,0,0,0,0
1.592173,0,0,0,0
1.795633,0,0,0,0
1.995514,0,0,0,0
2.211847,0,0,0,0
2.409145,0,0,0,0
2.595661,0,0,0,0
2.803675,0,0,0,0
2.996832,0,0,0,0
3.192097,0,-0.3473981,0.5800043,0.2087378
3.411846,0,-2.548823,0.580005,1.531487
3.595955,0,-6.1152,0.5800061,3.674382
3.795439,0,-9.533446,0.580005,5.728271
3.995464,0,-12.96094,0.5800055,7.787719
4.20071,0,-16.45677,0.5800054,9.935274
4.407509,0,-19.97167,0.5800054,12.11036
4.608231,0,-23.38325,0.5800065,14.22151
4.799938,0,-26.63685,0.5800053,16.24557
4.997463,0,-29.96801,0.5800053,18.36235
5.199978,0,-33.37225,0.5800058,20.54556
5.399687,0,-36.7261,0.5800052,22.70283
5.604055,0,-40.15824,0.5800061,24.91046
5.800198,0,-43.45219,0.580005,27.0292
6.011847,0,-46.52573,0.5800053,29.02188
6.211847,0,-49.86165,0.5800063,31.22273
6.411846,0,-53.07975,0.580005,33.40377
6.611847,0,-56.37439,0.5800044,35.66435
6.804871,0,-59.90762,0.5800022,38.15669
7.003502,0,-63.07666,0.5800056,40.54473
7.196482,0,-66.17164,0.5800056,42.84011
7.392748,0,-69.33162,0.5800023,45.15253
7.60387,0,-72.64924,0.5800027,47.74643
7.811846,0,-75.4959,0.5800025,50.1753
8.011839,0,-78.87588,0.5800021,52.97627
8.199755,0,-81.73793,0.5800027,55.38967
8.40403,0,-84.73608,0.5800027,58.14022
8.592766,0,-87.4359,0.5800046,60.75559
8.809469,0,-90.51826,0.5800048,63.77639
8.995766,0,-92.96305,0.5800039,66.5675
9.204939,0,-95.60909,0.5800056,69.78902
9.407942,0,-98.12303,0.5800039,72.95999
9.608213,0,-100.3283,0.5800033,76.29646
9.799982,0,-102.3333,0.5800049,79.56243
9.992178,0,-104.1705,0.5800026,82.92604
10.21185,0,-105.4352,0.5800055,86.70716
10.40007,0,-106.5779,0.5800054,90.71589
10.59325,0,-107.6181,0.5800049,94.43568
10.80093,0,-108.7735,0.5800046,98.42157
10.99968,0,-110.3647,0.5800034,102.0568
11.21185,0,-111.6158,0.5800025,105.5119
