time,progress,x,y,z
0,0,0,0,1
0.2115288,0,0.00436331,0,0.9999905
0.4118462,0,0.00436331,0,0.9999905
0.6038342,0,0.00436331,0,0.9999905
0.7919235,0,-0.02181468,0.00436331,0.9997525
1.011847,0,-0.2418851,0.01745241,0.970148
1.211847,0,-0.3461039,0.008726536,0.9381556
1.411846,0,-0.6494418,0.004363309,0.7603987
1.592173,0,-0.728364,0.00436331,0.6851765
1.795633,0,-0.821647,0,0.5699967
1.995514,0,-0.8338858,0,0.551937
2.211847,0,-0.852348,0.02617695,0.5223196
2.409145,0,-0.8546189,0.02617695,0.5185955
2.595661,0,-0.8546189,0.02617695,0.5185955
2.803675,0,-0.8546189,0.02617695,0.5185955
2.996832,0,-0.8567675,0.03053851,0.5147978
3.192097,0,-0.8567675,0.03053851,0.5147978
3.411846,0,-0.8567675,0.03053851,0.5147978
3.595955,0,-0.8567675,0.03053851,0.5147978
3.795439,0,-0.8567675,0.03053851,0.5147978
3.995464,0,-0.8567675,0.03053851,0.5147978
4.20071,0,-0.8498343,0.0348995,0.5258934
4.407509,0,-0.8498343,0.0348995,0.5258934
4.608231,0,-0.8498343,0.0348995,0.5258934
4.799938,0,-0.8475315,0.0348995,0.5295964
4.997463,0,-0.8422356,0.05233596,0.5365632
5.199978,0,-0.8396863,0.05669278,0.5401044
5.399687,0,-0.8396863,0.05669278,0.5401044
5.604055,0,-0.8396863,0.05669278,0.5401044
5.800198,0,-0.8396863,0.05669278,0.5401044
6.011847,0,-0.8368749,0.06540313,0.5434729
6.211847,0,-0.8289065,0.07845911,0.5538576
6.411846,0,-0.8146505,0.1693495,0.5546758
6.611847,0,-0.8038052,0.2206974,0.5524399
6.804871,0,-0.7942606,0.1045285,0.5985182
7.003502,0,-0.7978754,0.04361939,0.6012422
7.196482,0,-0.8070462,0.06975647,0.5863535
7.392748,0,-0.799302,0.06975648,0.5968671
7.60387,0,-0.7639381,0.0741085,0.64102
7.811846,0,-0.7580619,0.07845911,0.647446
8.011839,0,-0.7714459,0.08715574,0.6302977
8.199755,0,-0.7518377,0.08715574,0.6535625
8.40403,0,-0.7163221,0.09150162,0.6917443
8.592766,0,-0.713297,0.09150163,0.6948632
8.809469,0,-0.7041404,0.09150162,0.7041404
8.995766,0,-0.6436653,0.08715574,0.7603281
9.204939,0,-0.6305323,0.08280821,0.771733
9.407942,0,-0.5759094,0.06540313,0.8148931
9.608213,0,-0.5367882,0.04361939,0.8425887
9.799982,0,-0.5220958,0.03925982,0.8519828
9.992178,0,-0.3459557,0.03053852,0.9377537
10.21185,0,-0.296471,0.02181489,0.9547927
10.40007,0,-0.2755718,0.02181488,0.9610329
10.59325,0,-0.2587575,0.02181489,0.965696
10.80093,0,-0.3251932,0.04797813,0.9444297
10.99968,0,-0.382068,0.05669279,0.9223936
11.21185,0,-0.246069,0.02617695,0.9688988
11.40395,0,-0.0741078,0.00436331,0.9972407
11.60375,0,0.05664908,-0.03925982,0.997622
11.79972,0,0.07405137,-0.03925982,0.9964814
11.99971,0,0.1130481,-0.05233596,0.9922102
12.1998,0,0.1949047,-0.04361939,0.9798518
12.39956,0,0.3493544,-0.06975648,0.9343905
12.60382,0,0.3930879,-0.09150163,0.9149368
12.79515,0,0.4170666,-0.08715574,0.9046874
13.00461,0,0.410156,-0.05233596,0.9105125
13.19979,0,-0.4370198,0.0784591,0.8960234
13.39963,0,-0.6042238,0.1218693,0.7874399
13.59249,0,-0.2694172,0.1218693,0.9552813
13.81185,0,0.2376497,0.01745241,0.9711941
13.99224,0,0.1993376,0.01745241,0.9797754
14.19547,0,-0.3085935,0.05233596,0.9497531
14.40804,0,-0.3208399,0.06104854,0.9451639
14.61181,0,-0.1861761,0.06104854,0.9806179
14.80089,0,0.0955822,0.07410849,0.992659
15.00804,0,0.112682,0.09584575,0.9889976
15.21185,0,-0.07329448,0.1478094,0.9862962
15.39209,0,0.004315374,0.1478094,0.9890065
15.60785,0,0.1936361,0.1218693,0.9734747
15.796,0,0.2318272,0.1175374,0.9656299
16.00757,0,0.2318272,0.1175374,0.9656299
16.20818,0,0.2861986,0.1175374,0.9509339
16.40382,0,0.34778,0.1175374,0.9301796
16.60789,0,0.3959852,0.1175374,0.9107034
16.79194,0,0.3913668,0.1305262,0.9109308
16.99993,0,0.4501066,0.1305262,0.8833838
17.204,0,0.5267697,0.1088669,0.8430076
17.4051,0,0.5650265,0.06975647,0.8221186
17.60386,0,0.5836936,0.04361939,0.8108015
17.80383,0,0.5907469,0.04361939,0.805677
18.00028,0,0.6360541,-0.008726536,0.7715952
18.1919,0,0.702904,-0.1088669,0.7029039
18.41185,0,0.7569053,-0.09584575,0.6464581
18.61185,0,0.8351402,-0.05233596,0.5475418
18.79987,0,0.8764263,-0.02617695,0.4808239
19.00176,0,0.8764263,-0.02617695,0.4808239
19.20014,0,0.8867069,-0.02617695,0.4615903
19.39266,0,0.923563,-0.02617695,0.3825522
19.59987,0,0.9585057,-0.05669279,0.279379
19.81185,0,0.9611161,-0.08715574,0.2620303
19.99994,0,0.9536751,-0.07410849,0.2915678
20.19572,0,0.9723356,-0.0784591,0.2200171
20.39598,0,0.9852524,-0.1478094,0.08619843
20.59599,0,0.9802819,-0.190809,0.05137452
20.79582,0,0.9781524,-0.1478094,0.1461858
20.9961,0,0.9932649,-0.06540313,0.09564059
21.19311,0,0.9638577,-0.06540313,0.2582648
21.39583,0,0.9115895,-0.06540313,0.4058657
21.59532,0,0.8753167,-0.05669279,0.4802151
21.81185,0,0.8853564,-0.06104854,0.4608873
21.99186,0,0.9914072,-0.1305262,0.008651854
22.19957,0,0.9914072,-0.1305262,0.008651854
22.4077,0,0.9908283,-0.1348509,0.008646782
22.59573,0,0.9698464,-0.1736482,-0.1710101
22.81185,0,0.9733462,-0.1736482,-0.1498125
23.01185,0,0.9801549,-0.1607426,-0.1160089
23.20776,0,0.9801549,-0.1607426,-0.1160089
23.40771,0,0.9796395,-0.1607426,-0.1202847
23.60771,0,0.9796395,-0.1607426,-0.1202847
23.80839,0,0.9791054,-0.1607426,-0.1245581
24.00378,0,0.9675629,-0.1779436,-0.1793271
24.20399,0,0.9567537,-0.2036417,-0.2077315
24.40363,0,0.9723358,-0.2206975,0.07652435
24.59222,0,0.9779274,-0.186524,0.0941636
24.79581,0,0.8701943,-0.1693495,-0.4626905
25.01185,0,0.7966632,-0.190809,-0.5735154
25.20823,0,0.7966632,-0.190809,-0.5735154
25.40739,0,0.7966632,-0.190809,-0.5735154
25.59982,0,0.7966632,-0.190809,-0.5735154
25.81185,0,0.7966632,-0.190809,-0.5735154
26.00371,0,0.7966632,-0.190809,-0.5735154
26.19216,0,0.7966632,-0.190809,-0.5735154
26.39555,0,0.7111057,-0.2164396,-0.6689413
26.61185,0,0.6353828,-0.2292004,-0.7373981
26.81185,0,0.6607306,-0.2292004,-0.7147744
26.99572,0,0.663843,-0.2292004,-0.7118845
27.21185,0,0.6645188,-0.2249511,-0.7126094
27.39218,0,0.6645188,-0.2249511,-0.7126094
27.61185,0,0.6645188,-0.2249511,-0.7126094
27.80394,0,0.6645188,-0.2249511,-0.7126094
28.01185,0,0.4820119,-0.4539905,-0.7493713
28.21185,0,0.521539,-0.5075384,-0.6858585
28.409,0,0.2845819,-0.4422887,-0.8505257
28.60369,0,0.05629907,-0.386711,-0.920481
28.81185,0,-0.02019053,-0.3786486,-0.9253203
29.01176,0,-0.01620995,-0.3705575,-0.9286682
29.19583,0,-0.1532977,-0.3705575,-0.9160715
29.39564,0,-0.2749486,-0.3746066,-0.885479
29.60024,0,-0.2744612,-0.3786486,-0.8839095
29.79996,0,-0.3089519,-0.3786486,-0.8724529
30.01185,0,-0.331684,-0.3786486,-0.8640666
30.20809,0,-0.331684,-0.3786486,-0.8640666
30.39561,0,-0.331684,-0.3786486,-0.8640666
30.61185,0,-0.331684,-0.3786486,-0.8640666
30.80395,0,-0.331684,-0.3786486,-0.8640666
31.00362,0,-0.331684,-0.3786486,-0.8640666
31.21185,0,-0.3342406,-0.386711,-0.8594987
31.40007,0,-0.09900971,-0.4848097,-0.8689978
31.6039,0,-0.07277315,-0.4771587,-0.8757988
31.80018,0,-0.2530595,-0.4539905,-0.8543147
32.00375,0,-0.5120892,-0.5,-0.6984014
32.21185,0,-0.5379227,-0.5112932,-0.6702377
32.39963,0,-0.7791921,-0.5372996,-0.3227521
32.59976,0,-0.8074394,-0.5409744,-0.2353473
32.80816,0,-0.8248787,-0.5409745,-0.1640787
32.99632,0,-0.8234154,-0.5409744,-0.1712705
33.19981,0,-0.8226603,-0.5409745,-0.174862
33.40833,0,-0.8226603,-0.5409745,-0.174862
33.59644,1,0,1,1.490116E-08
33.7934,1,0,1,1.490116E-08
33.99227,1,0,1,1.490116E-08
34.19564,1,0,1,1.490116E-08
34.39606,1,0,1,1.490116E-08
34.6081,1,0,1,1.490116E-08
34.81184,1,0,1,1.490116E-08
35.00433,1,0,1,1.490116E-08
35.21185,1,0,1,1.490116E-08
35.41165,1,0,1,1.490116E-08
35.6116,1,0,1,1.490116E-08
35.80464,1,0,1,1.490116E-08
35.99658,1,0,1,1.490116E-08
36.19971,1,0,1,1.490116E-08
36.4118,1,0,1,1.490116E-08
36.60786,1,0,1,1.490116E-08
36.79993,1,0,1,1.490116E-08
37.0077,1,0,1,1.490116E-08
37.21185,1,0,1,1.490116E-08
37.39193,1,0,1,1.490116E-08
37.59195,1,0,1,1.490116E-08
37.81184,1,0,1,1.490116E-08
38.01185,1,0,1,1.490116E-08
38.21185,1,0,1,1.490116E-08
38.3919,1,0,1,1.490116E-08
38.60768,1,0,1,1.490116E-08
38.81184,1,0,1,1.490116E-08
38.99663,1,0,1,1.490116E-08
39.20399,1,0,1,1.490116E-08
39.40378,1,0,1,1.490116E-08
39.59703,1,0,1,1.490116E-08
39.80398,1,0,1,1.490116E-08
39.9996,1,0,1,1.490116E-08
40.19976,1,0,1,1.490116E-08
40.39289,1,0,1,-5.960464E-08
40.59576,1,0.9208829,-0.05669279,0.3856952
40.80367,1,0.7648802,-0.4107188,0.4962542
40.99583,1,0.9579412,0.1779436,0.2251328
41.19969,1,0.8631315,0.4733197,-0.1759907
41.40104,1,0.8567039,0.4656145,-0.2219495
41.60388,1,0.8604469,0.4656145,-0.2069644
41.79965,1,0.8584634,0.4694716,-0.2064872
41.99989,1,0.8584634,0.4694716,-0.2064872
42.19581,1,0.8584634,0.4694716,-0.2064872
42.39583,1,0.8584634,0.4694716,-0.2064872
42.61185,1,0.8584992,0.4539905,-0.2384783
42.81183,1,0.8628583,-0.503774,0.04107621
43.01184,1,0.8427721,-0.5224985,0.1293461
43.21185,1,0.9174682,-0.258819,0.3021006
43.41184,1,0.9185322,-0.254602,0.3024508
43.60825,1,0.9379006,-0.2249511,0.2640825
